X,Date,Price,Open,High,Low,month,day,year
1,2008/1/18,1216.6,1223.4,1223.4,1216.2,8,1,2018
2,7/31/18,1223.7,1220.4,1228.1,1213,7,31,2018
3,7/30/18,1221.3,1222.5,1223.9,1218.1,7,30,2018
4,7/27/18,1222.2,1223.5,1226.8,1216.7,7,27,2018
5,7/26/18,1225.3,1227.8,1227.8,1227.8,7,26,2018
6,7/25/18,1233,1225.3,1234.3,1223.2,7,25,2018
7,7/24/18,1225.3,1224.4,1229.6,1218.2,7,24,2018
8,7/23/18,1224,1222,1222,1222,7,23,2018
9,7/20/18,1229.5,1229.5,1229.5,1229.5,7,20,2018
10,7/19/18,1222.4,1227.2,1228,1211.7,7,19,2018
11,7/18/18,1226.3,1226.7,1226.7,1222.2,7,18,2018
12,7/17/18,1225.7,1225.7,1225.7,1225.7,7,17,2018
13,7/16/18,1238.1,1242.7,1243.8,1242.7,7,16,2018
14,7/13/18,1239.6,1244.7,1247,1244.7,7,13,2018
15,2007/12/18,1245,1240.9,1246.7,1240.9,7,12,2018
16,2007/11/18,1242.8,1253.2,1253.2,1247.9,7,11,2018
17,2007/10/18,1253.8,1256.2,1256.9,1249.3,7,10,2018
18,2007/9/18,1258.1,1258.2,1262.3,1257.7,7,9,2018
19,2007/6/18,1254.3,1255.5,1255.5,1254.4,7,6,2018
20,2007/5/18,1257.3,1253.7,1259.9,1253.6,7,5,2018
21,2007/4/18,1258.1,1256.2,1262.4,1255.3,7,4,2018
22,2007/3/18,1251.6,1238.1,1254.1,1237,7,3,2018
23,2007/2/18,1239.8,1249.9,1249.9,1239.8,7,2,2018
24,6/29/18,1251.3,1250.3,1253.3,1249.1,6,29,2018
25,6/28/18,1247.8,1251.7,1251.7,1244.8,6,28,2018
26,6/27/18,1252.8,1255.5,1255.5,1252.3,6,27,2018
27,6/26/18,1256.6,1267.2,1267.2,1257.5,6,26,2018
28,6/25/18,1265.6,1270.6,1271.2,1265.9,6,25,2018
29,6/22/18,1267.4,1268.1,1270.2,1267,6,22,2018
30,6/21/18,1267.2,1262.7,1268.9,1260,6,21,2018
31,6/20/18,1271.2,1274.4,1274.4,1271.5,6,20,2018
32,6/19/18,1275.6,1278.7,1281.8,1269.9,6,19,2018
33,6/18/18,1276.2,1280.7,1280.7,1277,6,18,2018
34,6/15/18,1274.6,1297.4,1297.4,1274,6,15,2018
35,6/14/18,1304,1297.2,1307.7,1297.2,6,14,2018
36,6/13/18,1296.9,1294,1299.4,1290.9,6,13,2018
37,2006/12/18,1295.1,1297.8,1298.1,1292.7,6,12,2018
38,2006/11/18,1298.9,1299.3,1302,1295.2,6,11,2018
39,2006/8/18,1298.1,1295.3,1299.4,1294.8,6,8,2018
40,2006/7/18,1298.7,1298.4,1302.8,1296.2,6,7,2018
41,2006/6/18,1297.1,1296.1,1300.4,1294.1,6,6,2018
42,2006/5/18,1297.5,1292.1,1299.8,1289.9,6,5,2018
43,2006/4/18,1293.1,1293.9,1297.1,1290,6,4,2018
44,2006/1/18,1294.8,1298.6,1299.5,1288.9,6,1,2018
45,5/31/18,1300.1,1301,1306.8,1296.6,5,31,2018
46,5/30/18,1301.5,1298,1303.7,1295.2,5,30,2018
47,5/29/18,1298.7,1298.7,1298.7,1298.7,5,29,2018
48,5/28/18,1297.6,1298.4,1299.7,1294.7,5,28,2018
49,5/27/18,1298.3,1299.8,1299.9,1296.1,5,27,2018
50,5/25/18,1303.3,1303.3,1303.3,1303.3,5,25,2018
51,5/24/18,1303.7,1303.7,1303.7,1303.7,5,24,2018
52,5/23/18,1289.3,1289.3,1289.3,1289.3,5,23,2018
53,5/22/18,1291.7,1291.7,1291.7,1291.7,5,22,2018
54,5/21/18,1290.2,1287.4,1292.1,1287.4,5,21,2018
55,5/18/18,1290.2,1285.2,1289.6,1285.2,5,18,2018
56,5/17/18,1288.2,1291.3,1291.3,1290.7,5,17,2018
57,5/16/18,1290.2,1290.9,1294,1285.4,5,16,2018
58,5/15/18,1288.9,1304.6,1304.7,1290.3,5,15,2018
59,5/14/18,1316.5,1319.9,1319.9,1317.9,5,14,2018
60,2005/11/18,1319,1319,1319,1319,5,11,2018
61,2005/10/18,1320.8,1312.2,1318,1312.2,5,10,2018
62,2005/9/18,1311.3,1311.3,1311.3,1311.3,5,9,2018
63,2005/8/18,1312,1310.1,1310.2,1308.5,5,8,2018
64,2005/7/18,1312.2,1310.6,1312.5,1310.2,5,7,2018
65,2005/4/18,1312.7,1312.7,1312.7,1312.7,5,4,2018
66,2005/3/18,1310.7,1310.7,1310.7,1310.7,5,3,2018
67,2005/2/18,1302.6,1309,1309.3,1303.7,5,2,2018
68,2005/1/18,1303.8,1313.2,1313.8,1303.4,5,1,2018
69,4/30/18,1316.2,1309.6,1313.3,1309.6,4,30,2018
70,4/27/18,1320.3,1315.3,1321.7,1312.8,4,27,2018
71,4/26/18,1316.3,1315.7,1315.8,1315.7,4,26,2018
72,4/25/18,1321.2,1324,1325,1320,4,25,2018
73,4/24/18,1331.4,1326.4,1331.7,1326.2,4,24,2018
74,4/23/18,1322.5,1334,1334.4,1323.5,4,23,2018
75,4/20/18,1336.7,1342.5,1343.4,1335.3,4,20,2018
76,4/19/18,1346.8,1348.6,1355.2,1341.6,4,19,2018
77,4/18/18,1351.2,1343.5,1354.2,1343.5,4,18,2018
78,4/17/18,1347.2,1348,1348.1,1339,4,17,2018
79,4/16/18,1347.5,1341,1348.8,1341,4,16,2018
80,4/13/18,1344.8,1335.9,1346,1335.9,4,13,2018
81,2004/12/18,1338.4,1351.2,1351.5,1334.6,4,12,2018
82,2004/11/18,1356.5,1340.1,1365.4,1340.1,4,11,2018
83,2004/10/18,1342,1335.2,1341,1333,4,10,2018
84,2004/9/18,1336.3,1333,1337.5,1327,4,9,2018
85,2004/6/18,1331.9,1326.5,1333,1319,4,6,2018
86,2004/5/18,1324.3,1333.5,1333.7,1322.6,4,5,2018
87,2004/4/18,1335.8,1331.8,1347.3,1331.6,4,4,2018
88,2004/3/18,1332.8,1340.4,1341.5,1328.5,4,3,2018
89,2004/2/18,1342.1,1327,1344.2,1324.7,4,2,2018
90,3/29/18,1322.8,1324,1327.1,1321.7,3,29,2018
91,3/28/18,1324.2,1345,1346.4,1322.4,3,28,2018
92,3/27/18,1341.3,1341,1341,1341,3,27,2018
93,3/26/18,1354.4,1348.5,1352.2,1345.1,3,26,2018
94,3/23/18,1349.3,1343.2,1348.7,1343.2,3,23,2018
95,3/22/18,1326.6,1326.6,1326.6,1326.6,3,22,2018
96,3/21/18,1320.7,1312.4,1328.8,1312.4,3,21,2018
97,3/20/18,1311.1,1311.1,1311.1,1311.1,3,20,2018
98,3/19/18,1316.8,1309.4,1316.9,1307.3,3,19,2018
99,3/16/18,1311.3,1310.1,1310.1,1310.1,3,16,2018
100,3/15/18,1316.8,1316.8,1316.8,1316.8,3,15,2018
101,3/14/18,1324.4,1322.2,1324.1,1322.2,3,14,2018
102,3/13/18,1325.9,1325.3,1325.3,1325.3,3,13,2018
103,2003/12/18,1319.4,1319.4,1319.4,1319.4,3,12,2018
104,2003/9/18,1322.4,1316.8,1322.2,1313,3,9,2018
105,2003/8/18,1319.9,1324.8,1326.8,1319.3,3,8,2018
106,2003/7/18,1326,1338.1,1338.1,1330,3,7,2018
107,2003/6/18,1333.6,1321.6,1333.4,1321.4,3,6,2018
108,2003/5/18,1318.1,1323.5,1325.9,1318.1,3,5,2018
109,2003/2/18,1321.1,1314.3,1323.2,1314.3,3,2,2018
110,2003/1/18,1302.9,1310.4,1318.1,1301.8,3,1,2018
111,2/28/18,1315.5,1315.4,1321,1315.4,2,28,2018
112,2/27/18,1315.5,1331.7,1332.6,1312.7,2,27,2018
113,2/26/18,1330.7,1335,1340.5,1334.7,2,26,2018
114,2/23/18,1328.2,1328,1332.1,1327.7,2,23,2018
115,2/22/18,1330.6,1322,1331.4,1322,2,22,2018
116,2/21/18,1330,1326.8,1331.5,1324.4,2,21,2018
117,2/20/18,1328.8,1348.4,1350.2,1328.5,2,20,2018
118,2/19/18,1347.8,1350.4,1353.9,1347.4,2,19,2018
119,2/18/18,1350.5,1349.7,1352.4,1349.7,2,18,2018
120,2/16/18,1353.2,1354,1361.4,1344.9,2,16,2018
121,2/15/18,1352.1,1352,1355.9,1349.7,2,15,2018
122,2/14/18,1355.5,1332.8,1355.5,1324,2,14,2018
123,2/13/18,1328.1,1324.5,1329.6,1323.4,2,13,2018
124,2002/12/18,1324.2,1323.8,1325.5,1318,2,12,2018
125,2002/9/18,1313.1,1320.9,1322,1311.9,2,9,2018
126,2002/8/18,1316.9,1317.1,1321.1,1307,2,8,2018
127,2002/7/18,1311.6,1325.4,1331.1,1310.5,2,7,2018
128,2002/6/18,1326.1,1338.2,1343.7,1319.5,2,6,2018
129,2002/5/18,1333,1331.1,1340.2,1329,2,5,2018
